Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,
1,100monkeystyping.com,0.0151,0.0000,104.1573,37.0000,0.0019,0.0000,0.2278,0.0315,0.0223,0.0183,0.0416,0.0021,0.0000,0.0081,12.0000,0.0012,3.1300,0.2183,324.9821,0.0101,15.0000,0.0000,0.0000,0.0091,27.0000,1.0000,
2,12thharmonic.com/wordpress,0.0038,0.0008,1690.4352,174.0000,0.0019,0.0000,0.2400,0.0576,0.0407,0.0334,0.0840,0.0021,0.0000,0.0034,5.0000,0.0013,3.6213,0.2413,359.2327,0.0289,43.0000,0.0000,0.0000,0.0161,48.0000,1.0000,
3,40ozblog.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,
4,4lina.tblog.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,
5,750volts.blogspot.com,0.0003,0.0005,1031.5557,1.0000,0.0019,0.0000,0.0625,0.0026,0.0018,0.0015,0.0045,0.0021,0.0000,0.0007,1.0000,0.0006,1.7068,0.1757,261.6685,0.0020,3.0000,0.0000,0.0000,0.0013,4.0000,1.0000,
6,95theses.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0005,0.0004,0.0003,0.0003,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1765,262.7617,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
7,abbadabbaduo.blogspot.com,0.0029,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0018,0.0013,0.0011,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
8,aboutpolitics.blogspot.com,0.0321,0.0012,2715.3113,33.0000,0.0019,0.0000,0.2678,0.0284,0.0201,0.0165,0.0239,0.0021,0.0000,0.0128,19.0000,0.0012,3.2650,0.2297,342.0659,0.0128,19.0000,0.0067,10.0000,0.0128,38.0000,1.0000,
9,achingandspinning.blogspot.com,0.0000,0.0000,0.0000,3.0000,0.0019,0.0000,0.2656,0.0142,0.0101,0.0083,0.0257,0.0007,0.0000,0.0000,0.0000,0.0010,2.6478,0.1979,294.6652,0.0054,8.0000,0.0000,0.0000,0.0027,8.0000,1.0000,
10,ackackack.com,0.0018,0.0000,1.6073,12.0000,0.0019,0.0000,0.3214,0.0241,0.0170,0.0140,0.0387,0.0021,0.0000,0.0007,1.0000,0.0011,3.0844,0.2153,320.6417,0.0094,14.0000,0.0000,0.0000,0.0050,15.0000,1.0000,
11,adamtalib.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0006,0.0004,0.0004,0.0009,0.0007,0.0000,0.0000,0.0000,0.0003,0.7985,0.1639,244.0457,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
12,adviceforlefty.blogspot.com,0.0001,0.0000,1.3375,0.0000,0.0019,0.0000,0.0000,0.0040,0.0028,0.0023,0.0073,0.0021,0.0000,0.0007,1.0000,0.0006,1.7066,0.1672,248.9372,0.0020,3.0000,0.0000,0.0000,0.0013,4.0000,1.0000,
13,agonist.org,0.0788,0.0009,1950.1755,278.0000,0.0019,0.0000,0.2373,0.0720,0.0509,0.0418,0.0483,0.0021,0.0000,0.0322,48.0000,0.0012,3.0997,0.2143,319.0989,0.0101,15.0000,0.0034,5.0000,0.0211,63.0000,1.0000,
14,aintnobaddude.com,0.0607,0.0050,11110.1875,2153.0000,0.0019,0.0000,0.2917,0.1027,0.0726,0.0595,0.1425,0.0021,0.0000,0.0181,27.0000,0.0014,3.7143,0.2760,411.0331,0.0416,62.0000,0.0141,21.0000,0.0299,89.0000,1.0000,
15,ajbenjaminjr.blogspot.com,0.0214,0.0006,1415.8733,302.0000,0.0019,0.0000,0.1801,0.0659,0.0466,0.0382,0.0866,0.0021,0.0000,0.0107,16.0000,0.0014,3.6855,0.2384,354.9326,0.0362,54.0000,0.0034,5.0000,0.0235,70.0000,1.0000,
16,alicublog.blogspot.com,0.0587,0.0011,2431.3276,604.0000,0.0019,0.0000,0.3042,0.0665,0.0470,0.0386,0.0583,0.0021,0.0000,0.0195,29.0000,0.0013,3.4078,0.2427,361.3991,0.0168,25.0000,0.0040,6.0000,0.0181,54.0000,1.0000,
17,allanjenkins.typepad.com,0.0001,0.0000,2.5686,0.0000,0.0019,0.0000,0.0000,0.0015,0.0010,0.0008,0.0022,0.0021,0.0000,0.0007,1.0000,0.0003,0.7984,0.1620,241.2527,0.0007,1.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
18,allspinzone.blogspot.com,0.0378,0.0010,2288.1807,157.0000,0.0019,0.0000,0.3419,0.0552,0.0391,0.0320,0.0643,0.0021,0.0000,0.0128,19.0000,0.0013,3.4710,0.2491,370.8992,0.0195,29.0000,0.0060,9.0000,0.0161,48.0000,1.0000,
19,alphapredator.com/wdtgw.htm,0.0030,0.0000,18.6879,0.0000,0.0019,0.0000,0.0000,0.0024,0.0017,0.0014,0.0031,0.0021,0.0000,0.0007,1.0000,0.0006,1.7033,0.1890,281.4511,0.0020,3.0000,0.0000,0.0000,0.0013,4.0000,1.0000,
20,alternateworlds.blogspot.com,0.0000,0.0000,0.0000,11.0000,0.0019,0.0000,0.2781,0.0215,0.0152,0.0124,0.0369,0.0007,0.0000,0.0000,0.0000,0.0011,3.0340,0.2160,321.6821,0.0087,13.0000,0.0000,0.0000,0.0044,13.0000,1.0000,
21,althippo.blogspot.com,0.0213,0.0015,3250.3894,123.0000,0.0019,0.0000,0.2319,0.0555,0.0392,0.0322,0.0808,0.0021,0.0000,0.0067,10.0000,0.0013,3.5812,0.2511,373.8328,0.0255,38.0000,0.0047,7.0000,0.0161,48.0000,1.0000,
22,alvintostig.typepad.com,0.0167,0.0006,1365.0345,41.0000,0.0019,0.0000,0.2309,0.0346,0.0245,0.0201,0.0405,0.0021,0.0000,0.0047,7.0000,0.0012,3.2732,0.2370,352.9156,0.0128,19.0000,0.0013,2.0000,0.0087,26.0000,1.0000,
23,americablog.blogspot.com,0.0887,0.0037,8173.2866,679.0000,0.0019,0.0000,0.1415,0.0833,0.0589,0.0483,0.0586,0.0021,0.0000,0.0456,68.0000,0.0013,3.4577,0.2202,327.8655,0.0195,29.0000,0.0054,8.0000,0.0326,97.0000,1.0000,
24,americablog.org,0.0512,0.0004,866.8777,248.0000,0.0019,0.0000,0.1876,0.0603,0.0426,0.0350,0.0552,0.0021,0.0000,0.0228,34.0000,0.0013,3.3911,0.2119,315.5320,0.0161,24.0000,0.0020,3.0000,0.0191,57.0000,1.0000,
25,americandreamslost.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,
26,americanmuslim.blogs.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0031,0.0022,0.0018,0.0057,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1661,247.3301,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
27,americanpolitics.com,0.0354,0.0019,4113.2402,54.0000,0.0019,0.0000,0.2341,0.0383,0.0271,0.0222,0.0345,0.0021,0.0000,0.0148,22.0000,0.0011,2.9958,0.2291,341.1826,0.0087,13.0000,0.0027,4.0000,0.0117,35.0000,1.0000,
28,americansforbayh.blogspot.com,0.0011,0.0000,16.8029,11.0000,0.0019,0.0000,0.2569,0.0126,0.0089,0.0073,0.0206,0.0021,0.0000,0.0013,2.0000,0.0011,2.8355,0.1893,281.8843,0.0067,10.0000,0.0000,0.0000,0.0040,12.0000,1.0000,
29,amleft.blogspot.com,0.0346,0.0025,5637.0044,190.0000,0.0019,0.0000,0.1953,0.0529,0.0374,0.0307,0.0664,0.0021,0.0000,0.0161,24.0000,0.0013,3.5741,0.2323,345.9159,0.0262,39.0000,0.0074,11.0000,0.0211,63.0000,1.0000,
30,amliberal.com/blog,0.0001,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
31,amptoons.com/blog,0.0767,0.0023,5103.4771,619.0000,0.0019,0.0000,0.2595,0.0815,0.0577,0.0473,0.0694,0.0021,0.0000,0.0275,41.0000,0.0013,3.5478,0.2452,365.1490,0.0242,36.0000,0.0087,13.0000,0.0258,77.0000,1.0000,
32,anarchyxero.robfindlay.org,0.0010,0.0000,0.8575,4.0000,0.0019,0.0000,0.2500,0.0075,0.0053,0.0043,0.0121,0.0021,0.0000,0.0007,1.0000,0.0008,2.2093,0.2022,301.0769,0.0034,5.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
33,andifeelfine.blogspot.com,0.0018,0.0000,33.8633,1.0000,0.0019,0.0000,0.1111,0.0012,0.0008,0.0007,0.0001,0.0021,0.0000,0.0013,2.0000,0.0003,0.7988,0.1590,236.7046,0.0007,1.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
34,andymatic.com,0.0060,0.0002,420.1396,1.0000,0.0019,0.0000,0.0800,0.0043,0.0031,0.0025,0.0010,0.0021,0.0000,0.0013,2.0000,0.0006,1.7066,0.1796,267.4768,0.0020,3.0000,0.0000,0.0000,0.0017,5.0000,1.0000,
35,angrybear.blogspot.com,0.1016,0.0003,619.5206,709.0000,0.0019,0.0000,0.2838,0.0792,0.0560,0.0460,0.0209,0.0021,0.0000,0.0362,54.0000,0.0009,2.3433,0.1961,292.0580,0.0040,6.0000,0.0000,0.0000,0.0201,60.0000,1.0000,
36,angrydesi.typepad.com,0.0024,0.0000,1.0219,8.0000,0.0019,0.0000,0.3471,0.0202,0.0143,0.0117,0.0338,0.0021,0.0000,0.0013,2.0000,0.0010,2.7489,0.2030,302.2748,0.0060,9.0000,0.0000,0.0000,0.0037,11.0000,1.0000,
37,angryfinger.org,0.0056,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0036,0.0026,0.0021,0.0000,0.0021,0.0000,0.0013,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
38,angryhomo.blogspot.com,0.0025,0.0000,0.0000,1.0000,0.0019,0.0000,0.5000,0.0016,0.0011,0.0009,0.0003,0.0021,0.0000,0.0013,2.0000,0.0003,0.7826,0.1752,260.9368,0.0007,1.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
39,annatopia.com/home.html,0.0469,0.0000,0.0000,54.0000,0.0007,0.0000,0.2867,0.0332,0.0235,0.0193,0.0000,0.0021,0.0000,0.0181,27.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,27.0000,1.0000,
